#col1                col2          col3          col4
#star/filter         host/magORul  refshift/unc  Av/corrected  ref
*                    040924        0.859         0.1568
my_spitzer_irac_ch1  22.96         0.16          False
my_spitzer_irac_ch3  21.76         -             False
acs_wfc_f775w        23.954        0.024         True          #1
wfpc2_f450w          24.6          -             True          #2
acs_wfc_f606w        24.2          -             True          #2
acs_wfc_f814w        24.00         0.10          True          #3
acs_wfc_f850lp       23.8          0.1           True          #4
bessell_I            23.6          0.2           False         #5
bessell_R            24.39         0.30          False         #5
*                    041006        0.716         0.0667
my_spitzer_irac_ch1  23.36         -             False
my_spitzer_irac_ch3  21.67         -             False
acs_wfc_f775w        24.668        0.057         True          #1
acs_wfc_f850lp       24.1          0.15          True          #4
cousins_R            25.227        0.236         False         #6
*                    050315        1.949         0.1357
my_spitzer_irac_ch1  23.56         0.15          False
wfc3_ir_f160w        23.808        0.029         True          #1
isaac_Ks             23.74         0.36          False         #7
fors2_bessell_R      24.64         0.15          False         #7
*                    050401        2.9           0.1771
my_spitzer_irac_ch2  24.17         -             False
my_spitzer_irac_ch3  22.99         -             False
wfc3_ir_f160w        25.217        0.077         True          #1
isaac_Ks             23.58         -             False         #7
fors2_bessell_R      26.36         0.31          False         #7
keck_lris_g          26.43         0.19          False
keck_lris_R          26.12         0.30          False
*                    050408        1.2357        0.0698
*                    050525        0.606         0.2519
my_spitzer_irac_ch1  23.57         0.07          False
my_spitzer_irac_ch2  24.28         0.23          False
my_spitzer_irac_ch3  23.36         -             False
my_spitzer_irac_ch4  22.24         -             False
acs_wfc_f625w        26.067        0.064         True          #1
gtc_osiris_sdss_g    27.7          0.4           True          #8
gtc_osiris_sdss_i    26.9          0.3           True          #8
twomass_J            24.4          0.3           True          #8
isaac_Ks             23.08         -             False         #7
fors2_bessell_R      26.16         0.34          False         #7
keck_lris_g          25.22         -             False
keck_lris_I          23.35         -             False
keck_nirc2_Ks        21.34         -             False
*                    050820        2.612         0.1179
*                    050824        0.83          0.0929
my_spitzer_irac_ch1  24.25         0.38          False
wfc3_ir_f160w        23.716        0.042         True          #1
dolores_B            24.11         0.16          True          #9
isaac_Ks             23.26         -             False         #7
fors2_bessell_R      24.44         0.16          False         #7
*                    050904        6.29          0.1623
*                    051016B       0.9364        0.1077
my_spitzer_irac_ch1  22.17         0.10          False
wfc3_ir_f160w        22.314        0.011         True          #1
sdss_g0              23.13         0.03          True          #9
isaac_Ks             21.89         0.20          False         #7
fors2_bessell_R      22.85         0.03          False         #7
*                    051022        0.809         0.1569
my_spitzer_irac_ch1  20.20         0.03          False
my_spitzer_irac_ch2  20.66         0.12          False
acs_wfc_f606w        22.020        0.006         True          #1
bessell_B            22.14         0.15          True          #10
bessell_V            21.87         0.13          True          #10
gemini_gmoss_r       21.77         0.03          True          #10
bessell_R            21.61         0.04          True          #10
gemini_gmoss_i       21.32         0.13          True          #10
lris_I               21.26         0.09          True          #10
bessell_I            21.09         0.10          True          #10
gemini_gmoss_z       20.90         0.06          True          #10
ukirt_wfcam_J        20.60         0.11          True          #10
wfc3_ir_f160w        20.71         0.10          True          #10
ukirt_wfcam_H        20.60         0.14          True          #10
ukirt_wfcam_K        20.06         0.09          True          #10
*                    060124        2.296         0.3614
my_spitzer_irac_ch1  24.86         -             False
my_spitzer_irac_ch3  23.21         -             False
wfc3_ir_f160w        26.133        0.126         True          #1
keck_lris_g          21.94         -             False
keck_lris_R          22.90         -             False
*                    060218        0.0331        0.3884
my_spitzer_irac_ch1  20.62         0.03          False
my_spitzer_irac_ch2  21.15         0.04          False
wfc3_ir_f160w        19.635        0.003         True          #1
#wfc3_uvis_f814w     19.69         0.04          True          #3
#bessell_R           19.80         0.03          True          #3
#sdss_u0             20.61         0.12          True          #9
sdss_u0              21.17         0.12          False         #41
sdss_g0              20.23         0.03          False         #41
sdss_r0              20.06         0.03          False         #41
fors2_bessell_R      20.19         0.01          False         #7
isaac_Ks             19.79         0.09          False         #7
*                    060223        4.41          0.3045
*                    060512        2.1           0.0442
my_spitzer_irac_ch1  24.60         0.44          False
keck_lris_g          24.94         0.12          False
*                    060522        5.11          0.1462
*                    060614        0.125         0.0575
my_spitzer_irac_ch1  23.03         0.16          False
acs_wfc_f606w        22.821        0.007         True          #1
#bessell_B           23.61         0.13          True
wfc3_uvis_f814w      22.37         0.60          True          #3
#bessell_R           22.63         0.01          True
sdss_u0              24.55         0.31          True          #3
#bessell_V           22.75         0.05          True
bessell_I            22.40         0.14          False         #11
twomass_J            20.91         -             False         #11
fors2_bessell_R      22.74         0.06          False         #7
isaac_Ks             22.21         0.20          False         #7
bessell_B            23.53         0.15          False         #3
bessell_V            22.76         0.09          False         #3
bessell_R            22.65         0.04          False         #3
bessell_I            22.21         0.07          False         #3
#uvot_B              22.97         -             True          #13
#uvot_U              24.72         0.25          True          #13
#uvot_V              22.09         -             True          #13
#uvot_W1             24.61         -             True          #13
#uvot_M2             24.19         -             True          #13
#uvot_W2             24.23         -             True          #13
*                    060719        1.532         0.0208
my_spitzer_irac_ch1  22.70         0.13          False
my_spitzer_irac_ch2  22.64         0.09          False
wfc3_ir_f160w        23.400        0.023         True          #1
wfc3_ir_f125w        23.58         0.04          True          #10
isaac_Ks             23.08         0.27          True          #10
fors2_bessell_R      24.77         0.11          True          #10
*                    060729        0.54          0.1457
my_spitzer_irac_ch1  23.34         -             False
wfc3_ir_f160w        23.509        0.028         True          #1
acs_wfc_f850lp       24.60         0.20          True          #37
wfpc2_f622w          24.54         0.20          True          #37
acs_hrc_f330w        24.80         -             True          #37
nicmos3_f222m        22.10         -             True          #37
sdss_g0              25.30         0.16          True          #9
isaac_Ks             23.05         0.31          False         #7
#fors2_bessell_R     23.92         0.04          False         #7
*                    061007        1.261         0.0544
my_spitzer_irac_ch1  23.54         0.17          False
wfc3_ir_f160w        23.621        0.033         True          #1
isaac_Ks             22.91         0.37          False         #7
fors2_bessell_R      24.61         0.17          False         #7
*                    070208        1.165         0.0414
my_spitzer_irac_ch1  21.76         0.06          False
my_spitzer_irac_ch2  21.97         0.05          False
wfc3_ir_f160w        21.902        0.009         True          #1
*                    070306        1.4959        0.0731
my_spitzer_irac_ch1  21.51         0.06          False
my_spitzer_irac_ch2  21.39         0.05          False
wfc3_ir_f160w        21.860        0.007         True          #1
wfc3_ir_f125w        21.88         0.03          True          #10
grond_g              22.90         0.09          False         #14
grond_r              23.08         0.09          False         #14
fors2_bessell_R      23.00         0.09          False         #14
grond_i              22.81         0.13          False         #14
grond_z              22.83         0.17          False         #14
grond_J              21.9          0.4           False         #14
isaac_Js             21.62         0.08          False         #14
grond_H              21.5          0.4           False         #14
isaac_H              21.20         0.12          False         #14
grond_Ks             21.1          -             False         #14
twomass_Ks           21.38         0.10          False         #14
*                    070318        0.836         0.0452
my_spitzer_irac_ch1  23.39         -             False
my_spitzer_irac_ch2  23.70         0.31          False
wfc3_ir_f160w        24.100        0.034         True          #1
isaac_Ks             22.89         -             False         #7
fors2_bessell_R      24.64         0.11          False         #7
*                    070318_2      0.836         0.0452
my_spitzer_irac_ch2  23.70         0.31          False
wfc3_ir_f160w        24.100        0.034         True          #1
fors2_bessell_R      24.64         0.11          False         #7
*                    070508        0.82          0.3701
*                    070721B       3.626         0.0839
my_spitzer_irac_ch1  24.39         -             False
acs_wfc_f775w        28.442        0.165         True          #1
isaac_Ks             24.23         -             False         #7
fors2_bessell_R      27.74         0.44          False         #7
*                    070802        2.45          0.0693
my_spitzer_irac_ch1  23.89         0.20          False
my_spitzer_irac_ch2  23.67         0.21          False
wfc3_ir_f160w        23.994        0.043         True          #1
#isaac_Ks            23.12         0.41          False         #7
#fors2_bessell_R     25.32         0.21          False         #7
wfc3_ir_f105w        24.72         0.09          True          #10
fors2_bessell_R      25.20         0.09          False         #14
efosc_gunn_i         25.50         0.30          False         #14
twomass_J            24.5          0.30          False         #14
isaac_Ks             23.40         0.30          False         #14
*                    071031        2.692         0.0310
*                    071112C       0.823         0.3174
my_spitzer_irac_ch1  24.04         0.30          False
my_spitzer_irac_ch2  23.67         -             False
wfc3_ir_f160w        23.674        0.046         True          #1
bessell_R            25.21         0.12          True          #8
dolores_I            24.54         0.13          True          #8
sdss_z0              24.05         0.14          True          #8
keck_lris_B          25.94         0.29          False
keck_lris_R          24.48         0.16          False
*                    071122        1.14          0.1276
*                    080319B       0.937         0.0293
my_spitzer_irac_ch1  23.84         -             False
wfpc2_f606w          26.679        0.200         True          #1
wfpc2_f814w          25.55         0.20          False         #15
fors2_bessell_B      26.77         0.30          False         #15
gemini_gmosn_i       26.16         0.15          False         #15
gemini_gmosn_r       26.92         0.15          False         #15
gemini_gmosn_g       26.76         0.10          False         #15
*                    080325        1.78          0.1739
my_spitzer_irac_ch1  21.28         0.04          False
my_spitzer_irac_ch2  21.23         0.03          False
